id,code,name,parent_id,top_id,level,child_count,is_show,created_at,updated_at,deleted_at,created_user_name,updated_user_name,deleted_user_name
1,cm01,オリエンテーション,,1,1,0,1,2025/11/26 20:28,2026/1/11 20:50,,システム管理者,システム管理者,システム管理者
2,cm02,各種手引き,,2,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
3,cm03,就職支援,,3,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
4,cm04,ビジネスマナー,,4,1,2,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
5,cm04-1,職業人講話,4,4,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
6,cm04-2,電話対応スキル,4,4,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
7,cm05,IT基礎,,7,1,5,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
8,cm05-01,パソコン基礎演習,7,7,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
9,cm05-02,コンピュータ概論,7,7,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
10,cm05-03,ネットワーク概論,7,7,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
11,cm05-04,プログラミング概論,7,7,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
12,cm05-05,情報技術概論（ITパスポート）,7,7,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
13,cm06,Webデザイン関連,,13,1,4,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
14,cm06-01,デザイン基礎,13,13,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
15,cm06-02,Illustrator&Photoshop基礎,13,13,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
16,cm06-03,Illustrator&Photoshop演習,13,13,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
17,cm06-04,Webデザイン演習,13,13,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
18,cm07,Javaプログラミング,,18,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
19,cm08,HTML＆CSSプログラミング,,19,1,2,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
20,cm08-01,HTML＆CSS基本,19,19,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
21,cm08-02,HTML＆CSS演習,19,19,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
22,cm09,JavaScriptプログラミング,,22,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
23,cm10,Webサイト制作演習（ポートフォリオ作成）,,23,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
24,cm11,データベース基本演習,,24,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
25,cm12,PHPプログラミング演習,,25,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
26,cm13,CMSによるWebサイトの構築演習（WordPress）,,26,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
27,cm14,LaravelによるWebアプリ作成,,27,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
28,cm15,Web制作実習関連,,28,1,4,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
33,cm16,制作プレゼンテーション,,33,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
34,cm17,ダウンロード,,34,1,0,1,2025/11/26 20:28,2025/11/26 20:28,,システム管理者,システム管理者,
35,cm21,テレワーク実務科,,35,1,16,1,2025/11/27 20:28,2025/11/27 20:28,,システム管理者,システム管理者,
36,cm21-01,ビジネスマナー,35,35,1,0,1,2025/11/28 20:28,2025/11/28 20:28,,システム管理者,システム管理者,
37,cm21-04,Eメールとメーラー,35,35,1,0,1,2025/11/29 20:28,2025/11/29 20:28,,システム管理者,システム管理者,
38,cm21-06,コミュニケーションソフト,35,35,1,0,1,2025/11/30 20:28,2025/11/30 20:28,,システム管理者,システム管理者,
39,cm21-07,パソコンの各種設定とセキュリティ管理,35,35,1,0,1,2025/12/1 20:28,2025/12/1 20:28,,システム管理者,システム管理者,
40,cm21-16,配色&カラーデザイン概論,35,35,1,0,1,2025/12/2 20:28,2025/12/2 20:28,,システム管理者,システム管理者,
41,cm21-17,デザインソフトの活用,35,35,1,0,1,2025/12/3 20:28,2025/12/3 20:28,,システム管理者,システム管理者,
42,cm21-18,ホームページ作成演習,35,35,1,0,1,2025/12/4 20:28,2025/12/4 20:28,,システム管理者,システム管理者,
43,cm21-19,文書作成演習,35,35,1,0,1,2025/12/5 20:28,2025/12/5 20:28,,システム管理者,システム管理者,
44,cm21-20,表計算ソフト演習,35,35,1,0,1,2025/12/6 20:28,2025/12/6 20:28,,システム管理者,システム管理者,
45,cm21-22,プレゼンテーションソフト演習,35,35,1,0,1,2025/12/7 20:28,2025/12/7 20:28,,システム管理者,システム管理者,
46,cm21-23,ビジネス文書作成演習,35,35,1,0,1,2025/12/8 20:28,2025/12/8 20:28,,システム管理者,システム管理者,
47,cm21-24,表計算ソフト応用演習,35,35,1,0,1,2025/12/9 20:28,2025/12/9 20:28,,システム管理者,システム管理者,
48,cm21-25,Excelスペシャリスト試験の演習,35,35,1,0,1,2025/12/10 20:28,2025/12/10 20:28,,システム管理者,システム管理者,
49,cm21-26,表計算ソフト応用マクロ・VBA演習,35,35,1,0,1,2025/12/11 20:28,2025/12/11 20:28,,システム管理者,システム管理者,
50,cm21-27,データベースソフト演習,35,35,1,0,1,2025/12/12 20:28,2025/12/12 20:28,,システム管理者,システム管理者,
51,cm21-28,OAアプリの制作実習,35,35,1,0,1,2025/12/13 20:28,2025/12/13 20:28,,システム管理者,システム管理者,
52,cm18,求人用ダウンロード,34,34,2,0,1,2025/12/3 13:55,2025/12/3 13:56,,,,
53,cm19,各種届出ダウンロード,34,34,2,0,1,2025/12/3 13:57,2025/12/3 13:57,,,,
